tiempo;VELOCIDAD;ACELERACION;;
604;4,6206613;-0,065670167;;1,17
605;4,4461703;-0,278464592;;1,13
606;4,106454;-0,266883275;;1,78
607;3,8604167;-0,429192742;;2,04
608;3,1372318;-1,120250008;;2,31
609;1,8427056;-0,945458817;;2,24
610;1,4077653;-0,24766725;;2,35
611;1,3701905;0,480879183;;2,26
612;2,329118;1,105837883;;2,27
613;3,442977;1,181158808;;2,66
614;4,7200027;1,526494433;;2,82
615;6,3233624;1,253177058;;2,72
616;7,054268;0,322173258;;2,42
617;7,0789747;-0,111994883;;2,42
618;6,898822;-0,38153805;;2,82
619;6,423733;-0,219357567;;3,02
620;6,390791;-0,287515;;3,23
621;5,6470175;-1,186820933;;3,41
622;4,135278;-1,623047908;;4,05
623;2,6214802;-1,279685008;;4,22
624;1,6630675;-0,67321375;;3,46
625;1,2255536;-0,299225242;;2,32
626;1,0464302;0,070516942;;1,84
627;1,2790847;0,144851425;;1,43
628;1,245113;-0,176120775;;1,23
629;1,0767989;0,166727175;;1,27
630;1,5415931;0,341217892;;1,21
631;1,6501994;0,058506783;;1,03
632;1,7377023;0,172260392;;1,49
633;1,9435911;0,041263542;;2,58
634;1,821602;-0,084457283;;2,56
635;1,8262345;0,001973042;;2,86
636;1,8123369;0,032641875;;3,04
637;1,8457938;-0,130010217;;3,85
638;1,5863739;-0,127007625;;3,94
639;1,5786531;-0,207004125;;3,15
640;1,1993028;-0,199240383;;2,43
641;1,2332745;0,017243167;;1,31
642;1,2142297;0,170458825;;1,44
643;1,4911503;0,104488608;;1,26
644;1,2168033;-0,892914392;;0
645;0;-0,686939675;;0
646;0;0,101400275;;0
647;0;0;;0
648;0;0;;0
649;0;0;;0
650;0;-0,274775883;;0
651;0;1,843906608;;0
652;3,2973106;2,434507417;;0
653;4,2516055;0,559031017;;0
654;4,798755;0,5253598;;0
655;5,303183;0,29836765;;0
656;5,405613;0,060351158;;1,5724764
657;5,5260577;0,225362258;;3,088848
658;5,8575387;0,389044342;;3,8460045
659;6,2142415;0,183498708;;4,29021
660;6,2425513;0,080596892;;4,4049926
661;6,404174;0,095738317;;4,430214
662;6,409836;0,002230475;;4,660295
663;6,4036593;-0,143779042;;4,7853727
664;6,211668;0,105475217;;4,752945
665;6,5441785;0,047225483;;4,7339
666;6,268287;-0,193921725;;4,4827156
667;6,2899055;0,1690864;;4,358668
668;6,5045447;0,036759725;;4,2778563
669;6,4052033;0,064554875;;4,523379
670;6,7495527;0,61796705;;4,9078765
671;7,475311;0,499623567;;4,6237497
672;7,6498017;0,022176058;;4,323152
673;7,6117125;-0,103201967;;4,296901
674;7,574652;0,286614308;;4,180574
675;8,112537;0,389602292;;3,785267
676;8,217026;-0,052587467;;4,1260133
677;8,075477;-0,123619467;;4,2783713
678;7,9092216;-0,427219358;;4,3149166
679;7,1335354;-1,0991464;;4,278886
680;5,8081255;-1,388377483;;4,0014505
681;4,456465;-1,321034625;;3,6396008
682;3,1531882;-1,411840167;;3,635483
683;1,7464525;-1,017348383;;3,7821789
